"Ungrammatical_Statement","Standard_English"
"The tree was falling during the storm.","The tree fell during the storm."
"The children was playing in the park.","The children were playing in the park."
"The cake is frost with chocolate icing.","The cake is frosted with chocolate icing."
"The employee is work late tonight.","The employee is working late tonight."
"The train was delay due to bad weather.","The train was delayed due to bad weather."
"The phone is charge on the table.","The phone is charging on the table."
"The dog was dig a hole in the yard.","The dog was digging a hole in the yard."
"The students is studying in the library.","The students are studying in the library."
"The pizza is deliver to the wrong address.","The pizza was delivered to the wrong address."
"The project is complete by the deadline.","The project was completed by the deadline."
"The concert was cancel due to rain.","The concert was canceled due to rain."
"The waitress is take our order.","The waitress is taking our order."
"The dogs runs quickly to the park.","The dogs run quickly to the park."
"She go to the library every Tuesday.","She goes to the library every Tuesday."
"The results of the experiments was inconclusive.","The results of the experiments were inconclusive."
"The team of researchers are committed to finding a solution.","The team of researchers is committed to finding a solution."
"The pile of clothes need to be washed.","The pile of clothes needs to be washed."
"The collection of stamps have been growing steadily.","The collection of stamps has been growing steadily."
"The group of students works on the project together.","The group of students work on the project together."
"The computers in the lab was updated last week.","The computers in the lab were updated last week."
"The list of ingredients in the recipe need revision.","The list of ingredients in the recipe needs revision."
"My family enjoys going on vacation together.","My family enjoy going on vacation together."
"The audience was clapping their hands enthusiastically.","The audience were clapping their hands enthusiastically."
"The company's policies is constantly evolving.","The company's policies are constantly evolving."
"The employees at the store works diligently.","The employees at the store work diligently."
"The children plays in the park every afternoon.","The children play in the park every afternoon."
"The bakeries in this area makes delicious pastries.","The bakeries in this area make delicious pastries."
"The book that I borrowed from the library were very interesting.","The book that I borrowed from the library was very interesting."
"The collection of coins are displayed in the museum.","The collection of coins is displayed in the museum."
"The committee have decided on a course of action.","The committee has decided on a course of action."
"The musicians practices together every Saturday.","The musicians practice together every Saturday."
"The dishes in the sink needs to be cleaned.","The dishes in the sink need to be cleaned."
"The flights to New York was cancelled due to bad weather.","The flights to New York were cancelled due to bad weather."
"The film festival have a great lineup this year.","The film festival has a great lineup this year."
"The students in the class was excited about the field trip.","The students in the class were excited about the field trip."
"The package of documents need to be delivered by tomorrow.","The package of documents needs to be delivered by tomorrow."
"The plants in the garden has grown significantly.","The plants in the garden have grown significantly."
"The shelves was filled with books.","The shelves were filled with books."
"The faculty in the department is diverse and experienced.","The faculty in the department are diverse and experienced."
"The orchestra perform at the concert hall every month.","The orchestra performs at the concert hall every month."
"The series of events leading up to the incident was complicated.","The series of events leading up to the incident were complicated."
"The couple takes a walk in the park every evening.","The couple take a walk in the park every evening."
"The laws of physics governs the universe.","The laws of physics govern the universe."
"The group of protestors was chanting loudly.","The group of protestors were chanting loudly."
"The pair of shoes I bought yesterday was too tight.","The pair of shoes I bought yesterday were too tight."
"The flock of birds fly south for the winter.","The flock of birds flies south for the winter."
"The set of keys are on the kitchen counter.","The set of keys is on the kitchen counter."
"The team of engineers designs the new product.","The team of engineers design the new product."
"The list of tasks to complete was overwhelming.","The list of tasks to complete were overwhelming."
"The group of tourists takes pictures of the monument.","The group of tourists take pictures of the monument."
"The stack of papers on the desk need to be sorted.","The stack of papers on the desk needs to be sorted."
"The number of people in the room was growing.","The number of people in the room were growing."
"The families in the neighborhood brings food to the potluck.","The families in the neighborhood bring food to the potluck."
"The collection of short stories have a common theme.","The collection of short stories has a common theme."
"The staff at the hotel makes sure the guests are comfortable.","The staff at the hotel make sure the guests are comfortable."
"The bundle of letters was tied with a ribbon.","The bundle of letters were tied with a ribbon."
"The pair of jeans fit me perfectly.","The pair of jeans fits me perfectly."
"The variety of plants in the greenhouse needs special care.","The variety of plants in the greenhouse need special care."
"The audience enjoys the show immensely.","The audience enjoy the show immensely."
"The group of instruments in the orchestra creates a unique sound.","The group of instruments in the orchestra create a unique sound."
"The herd of cows graze in the field.","The herd of cows grazes in the field."
"The set of tools are in the garage.","The set of tools is in the garage."
"The series of lectures on history was very informative.","The series of lectures on history were very informative."
"The team of doctors have developed a new treatment.","The team of doctors has developed a new treatment."
"The crowd of people was waiting for the parade to start.","The crowd of people were waiting for the parade to start."
"The group of volunteers work tirelessly to help the community.","The group of volunteers works tirelessly to help the community."
"The couple plans their wedding together.","The couple plan their wedding together."
"The assortment of candies in the store looks delicious.","The assortment of candies in the store look delicious."
"The range of mountains stretches across the horizon.","The range of mountains stretch across the horizon."
"The series of tests was challenging for the students.","The series of tests were challenging for the students."
"The set of rules governs how the game is played.","The set of rules govern how the game is played."
"The number of tasks to complete have increased.","The number of tasks to complete has increased."
"The group of fish swim together in the tank.","The group of fish swims together in the tank."
"The variety of birds in the aviary is amazing.","The variety of birds in the aviary are amazing."
"The class of students have different learning styles.","The class of students has different learning styles."
"The group of friends meets every week for dinner.","The group of friends meet every week for dinner."
"The bunch of grapes has started to rot.","The bunch of grapes have started to rot."
"The pair of socks has holes in them.","The pair of socks have holes in them."
"The range of products offered by the company are vast.","The range of products offered by the company is vast."
"The cluster of stars form a constellation.","The cluster of stars forms a constellation."
"The group of hikers takes a break by the waterfall.","The group of hikers take a break by the waterfall."
"The class of students was eager to learn.","The class of students were eager to learn."
"The selection of movies at the theater is impressive.","The selection of movies at the theater are impressive."
"The government's policies has a significant impact on the economy.","The government's policies have a significant impact on the economy."
"The series of paintings in the gallery tell a story.","The series of paintings in the gallery tells a story."
"The cast of the play have been rehearsing for months.","The cast of the play has been rehearsing for months."
"The group of scientists study the effects of climate change.","The group of scientists studies the effects of climate change."
"The family of deer grazes in the meadow.","The family of deer graze in the meadow."
"The pair of earrings has been misplaced.","The pair of earrings have been misplaced."
"The group of musicians have a unique sound.","The group of musicians has a unique sound."
"The set of dishes in the cupboard is antique.","The set of dishes in the cupboard are antique."
"The number of books in the library continues to grow.","The number of books in the library continue to grow."
"The group of dancers perform in perfect unison.","The group of dancers performs in perfect unison."
"The variety of food at the buffet has something for everyone.","The variety of food at the buffet have something for everyone."
"The crowd of spectators cheers for their favorite team.","The crowd of spectators cheer for their favorite team."
"The team of writers collaborate on the script.","The team of writers collaborates on the script."
"The set of instructions was difficult to follow.","The set of instructions were difficult to follow."
"The group of birds nests in the trees.","The group of birds nest in the trees."
"The assortment of toys in the store is impressive.","The assortment of toys in the store are impressive."
"The choir of singers sings beautifully.","The choir of singers sing beautifully."
"The series of articles on the topic was enlightening.","The series of articles on the topic were enlightening."
"The pair of gloves keeps my hands warm.","The pair of gloves keep my hands warm."
"The group of flowers in the vase is wilting.","The group of flowers in the vase are wilting."
"The set of questions in the exam was challenging.","The set of questions in the exam were challenging."
"The number of people attending the event has increased.","The number of people attending the event have increased."
"The group of animals in the zoo attracts a lot of visitors.","The group of animals in the zoo attract a lot of visitors."
"The variety of courses offered by the university is diverse.","The variety of courses offered by the university are diverse."
"The cast of characters in the novel was memorable.","The cast of characters in the novel were memorable."
"The team of athletes train together every day.","The team of athletes trains together every day."
"The group of students in the club organizes events.","The group of students in the club organize events."
"The family of languages share common features.","The family of languages shares common features."
"The collection of essays was edited by the professor.","The collection of essays were edited by the professor."
"I went to a school yesterday.","I went to school yesterday."
"She bought the ice cream for her daughter.","She bought ice cream for her daughter."
"He has a unique collection of a coins.","He has a unique collection of coins."
"An apple a day keeps doctor away.","An apple a day keeps the doctor away."
"Please pass me an salt shaker.","Please pass me the salt shaker."
"I am looking forward to an vacation.","I am looking forward to a vacation."
"They are attending a wedding of an friend.","They are attending a wedding of a friend."
"The Earth revolves around a Sun.","The Earth revolves around the Sun."
"She works in a finance industry.","She works in the finance industry."
"Did you finish an work you had to do?","Did you finish the work you had to do?"
"He was late because of an heavy traffic.","He was late because of heavy traffic."
"She is an expert on a human behavior.","She is an expert on human behavior."
"We went to a beach to enjoy a sunshine.","We went to the beach to enjoy the sunshine."
"The artist used a watercolor to paint a picture.","The artist used watercolor to paint the picture."
"I need to buy a new pair of a shoes.","I need to buy a new pair of shoes."
"She is studying a history of art.","She is studying the history of art."
"They are going to a museum of modern art.","They are going to the museum of modern art."
"He is a fan of a basketball.","He is a fan of basketball."
"The cat is hiding under a table.","The cat is hiding under the table."
"She is waiting for a bus at a bus stop.","She is waiting for the bus at the bus stop."
"He is a member of a chess club.","He is a member of the chess club."
"The students are learning a chemistry in class.","The students are learning chemistry in class."
"Can you hand me a book about a science fiction?","Can you hand me a book about science fiction?"
"She is reading a newspaper while drinking a tea.","She is reading the newspaper while drinking tea."
"The movie is based on a true story.","The movie is based on a true story."
"He is attending a conference on a technology.","He is attending a conference on technology."
"She is an expert in a field of psychology.","She is an expert in the field of psychology."
"The dog is chasing a ball in a park.","The dog is chasing a ball in the park."
"The flowers are blooming in a springtime.","The flowers are blooming in the springtime."
"The waiter brought a menu to a table.","The waiter brought the menu to the table."
"They are planning a trip to a Europe.","They are planning a trip to Europe."
"The car is parked in a garage.","The car is parked in the garage."
"The boy is playing with a toy car.","The boy is playing with a toy car."
"She is learning a new language at a school.","She is learning a new language at the school."
"The cake is decorated with a flowers.","The cake is decorated with flowers."
"He is listening to a music on a radio.","He is listening to music on the radio."
"She went to a store to buy a groceries.","She went to the store to buy groceries."
"The package was delivered by a mail carrier.","The package was delivered by the mail carrier."
"The bird is sitting on a branch of a tree.","The bird is sitting on a branch of the tree."
"I have a meeting with a principal of a school.","I have a meeting with the principal of the school."
"The athlete is training for a marathon race.","The athlete is training for a marathon race."
"He bought a ticket for a concert of his favorite band.","He bought a ticket for the concert of his favorite band."
"The doctor is giving advice on a healthy lifestyle.","The doctor is giving advice on healthy lifestyle."
"The chef is preparing a delicious meal in a kitchen.","The chef is preparing a delicious meal in the kitchen."
"The students are working on a project in a library.","The students are working on a project in the library."
"She is reading a book about a personal development.","She is reading a book about personal development."
"The company is investing in a renewable energy.","The company is investing in renewable energy."
"The scientist discovered a new species of a plant.","The scientist discovered a new species of plant."
"The tourists are visiting a famous monument.","The tourists are visiting the famous monument."
"The children are playing a soccer in a park.","The children are playing soccer in the park."
"He is a fan of a classical music.","He is a fan of classical music."
"The couple is taking a walk in a park.","The couple is taking a walk in the park."
"The audience enjoyed a performance of a play.","The audience enjoyed the performance of the play."
"The teacher is explaining a new concept to a students.","The teacher is explaining a new concept to the students."
"The family is having a dinner at a restaurant.","The family is having dinner at the restaurant."
"The airplane is flying above a clouds.","The airplane is flying above the clouds."
"She is wearing a beautiful dress to a party.","She is wearing a beautiful dress to the party."
"The artist is painting a landscape with a oil paint.","The artist is painting a landscape with oil paint."
"The child is playing with a sand at a beach.","The child is playing with sand at the beach."
"The workers are constructing a new building.","The workers are constructing the new building."
"The team is celebrating their victory in a competition.","The team is celebrating their victory in the competition."
"The author is signing a copies of her new book.","The author is signing copies of her new book."
"He is looking at a stars through a telescope.","He is looking at the stars through a telescope."
"The farmer is harvesting a crops in a field.","The farmer is harvesting crops in the field."
"The family is watching a movie together at a home.","The family is watching a movie together at home."
"The students are practicing a yoga in a gym.","The students are practicing yoga in the gym."
"The musician is playing a piano in a concert hall.","The musician is playing the piano in a concert hall."
"The volunteers are cleaning a beach on a weekend.","The volunteers are cleaning the beach on the weekend."
"The car is making a strange noise when a engine is running.","The car is making a strange noise when the engine is running."
"The city is famous for a unique architecture.","The city is famous for its unique architecture."
"The couple is taking a vacation in a tropical island.","The couple is taking a vacation on a tropical island."
"The museum is featuring a new exhibit about a ancient civilizations.","The museum is featuring a new exhibit about ancient civilizations."
"The photographer is taking pictures of a wildlife.","The photographer is taking pictures of wildlife."
"The passengers are waiting for a train at a train station.","The passengers are waiting for the train at the train station."
"The computer is displaying an error message on a screen.","The computer is displaying an error message on the screen."
"The weather forecast predicts a rain for a tomorrow.","The weather forecast predicts rain for tomorrow."
"The plants need a water and a sunlight to grow.","The plants need water and sunlight to grow."
"The patient is recovering from a surgery at a hospital.","The patient is recovering from surgery at the hospital."
"The government is implementing a new policies to improve a economy.","The government is implementing new policies to improve the economy."
"The audience is waiting for a show to start.","The audience is waiting for the show to start."
"The squirrel is collecting a nuts for a winter.","The squirrel is collecting nuts for the winter."
"The player scored a goal during a soccer match.","The player scored a goal during the soccer match."
"The speaker is giving a presentation on a social issues.","The speaker is giving a presentation on social issues."
"The tourists are exploring a city on a guided tour.","The tourists are exploring the city on a guided tour."
"The employees are attending a training session at a company.","The employees are attending a training session at the company."
"The crowd is cheering for a home team at a sports event.","The crowd is cheering for the home team at the sports event."
"The scientist is conducting a research on a climate change.","The scientist is conducting research on climate change."
"The chef is cooking a meal using a fresh ingredients.","The chef is cooking a meal using fresh ingredients."
"The hikers are enjoying a view from a top of a mountain.","The hikers are enjoying the view from the top of the mountain."
"The teacher is helping a students with a homework assignments.","The teacher is helping the students with their homework assignments."
"The passengers are boarding a plane at a gate.","The passengers are boarding the plane at the gate."
"The couple is celebrating a anniversary with a special dinner.","The couple is celebrating their anniversary with a special dinner."
"The athlete is preparing for a competition by training a hard.","The athlete is preparing for the competition by training hard."
"The artist is displaying a paintings in a gallery.","The artist is displaying paintings in the gallery."
"The team is working together to solve a problem.","The team is working together to solve the problem."
"The workers are repairing a damaged road.","The workers are repairing the damaged road."
"The children are enjoying a ride at a amusement park.","The children are enjoying a ride at the amusement park."
"The flowers are adding a color and a beauty to a garden.","The flowers are adding color and beauty to the garden."
"The family is visiting a famous landmarks during a vacation.","The family is visiting famous landmarks during their vacation."
"He is interested to learn guitar.","He is interested in learning guitar."
"She took the keys out her pocket.","She took the keys out of her pocket."
"The cat is hiding under the table.","The cat is hiding beneath the table."
"My friend lives on New York City.","My friend lives in New York City."
"She always listens music after work.","She always listens to music after work."
"I met him outside the house.","I met him outside of the house."
"They're going on the beach this weekend.","They're going to the beach this weekend."
"The book is laying over the desk.","The book is lying on the desk."
"I have been waiting him since morning.","I have been waiting for him since morning."
"She will arrive at Monday night.","She will arrive on Monday night."
"He works as a teacher in a school.","He works as a teacher at a school."
"The cake is divided between four people.","The cake is divided among four people."
"I prefer coffee instead tea.","I prefer coffee instead of tea."
"The plane flew over the mountains.","The plane flew above the mountains."
"We walked through the park.","We walked across the park."
"I found the book on the library.","I found the book in the library."
"They're going for a walk along the river.","They're going for a walk beside the river."
"She is waiting the bus stop.","She is waiting at the bus stop."
"I need to talk with him about the project.","I need to talk to him about the project."
"He threw the ball inside the window.","He threw the ball through the window."
"She looked around the room.","She looked about the room."
"The meeting is scheduled on 2 PM.","The meeting is scheduled at 2 PM."
"The museum is located at Washington.","The museum is located in Washington."
"He was leaning against the wall.","He was leaning on the wall."
"She sat beside the window.","She sat next to the window."
"They walked among the trees.","They walked amidst the trees."
"The ice cream shop is near the park.","The ice cream shop is close to the park."
"She is traveling by train.","She is traveling on a train."
"The birds were flying over the lake.","The birds were flying above the lake."
"He is good at playing football.","He is skilled in playing football."
"I am looking forward to meet you.","I am looking forward to meeting you."
"She kept her purse beside the table.","She kept her purse next to the table."
"I will come back from work in 5 PM.","I will come back from work at 5 PM."
"The movie is based in a true story.","The movie is based on a true story."
"They're standing in the entrance.","They're standing at the entrance."
"The train arrives on 3 PM.","The train arrives at 3 PM."
"The concert will be held in the stadium.","The concert will be held at the stadium."
"He is waiting outside the doctor's office.","He is waiting outside of the doctor's office."
"The dog jumped in the fence.","The dog jumped over the fence."
"She is an expert at cooking Italian dishes.","She is an expert in cooking Italian dishes."
"The library is close on Sundays.","The library is closed on Sundays."
"The store is located in the corner.","The store is located at the corner."
"They met at the party on Saturday night.","They met at the party on Saturday evening."
"The cat climbed up the tree.","The cat climbed up into the tree."
"He's working as a waiter in the restaurant.","He's working as a waiter at the restaurant."
"They were surprised with the news.","They were surprised by the news."
"She was hiding behind the door.","She was hiding in back of the door."
"We arrived to the party late.","We arrived at the party late."
"The car is parked in front the house.","The car is parked in front of the house."
"She was talking in the phone.","She was talking on the phone."
"I will meet you in the airport.","I will meet you at the airport."
"The students are sitting on the classroom.","The students are sitting in the classroom."
"The plane will depart in 30 minutes.","The plane will depart after 30 minutes."
"The package was delivered on her.","The package was delivered to her."
"He is waiting in the bus stop.","He is waiting at the bus stop."
"She will come home in the evening.","She will come home during the evening."
"The book was written from a famous author.","The book was written by a famous author."
"The meeting will be held on the conference room.","The meeting will be held in the conference room."
"I found the wallet under the sofa.","I found the wallet beneath the sofa."
"She is reading a book about the history.","She is reading a book on the history."
"The movie starts in 7 PM.","The movie starts at 7 PM."
"The vase is placed on the table.","The vase is placed upon the table."
"He lives in a small village near the mountains.","He lives in a small village close to the mountains."
"The concert was cancelled due the rain.","The concert was cancelled due to the rain."
"The cat jumped off the table.","The cat jumped from the table."
"He is working on a new project.","He is working upon a new project."
"They were arguing about the issue.","They were arguing over the issue."
"The bus stopped at the corner.","The bus stopped on the corner."
"The flowers are growing by the river.","The flowers are growing alongside the river."
"She was sitting on a bench in the park.","She was sitting on a bench at the park."
"The building is surrounded with trees.","The building is surrounded by trees."
"The train goes through the tunnel.","The train goes across the tunnel."
"He is reading a book on the library.","He is reading a book in the library."
"I have to pay my bills until Friday.","I have to pay my bills by Friday."
"The cake was shared between the children.","The cake was shared among the children."
"She was carrying a bag on her shoulder.","She was carrying a bag over her shoulder."
"The car is parked behind the building.","The car is parked in back of the building."
"The shop is located at the end of the street.","The shop is located on the end of the street."
"The kids are playing outside the house.","The kids are playing outside of the house."
"She was standing beside the window.","She was standing next to the window."
"The painting is hanging on the wall.","The painting is hanging upon the wall."
"The book was lying over the table.","The book was lying on the table."
"The concert will be held in the park.","The concert will be held at the park."
"They were walking along the beach.","They were walking beside the beach."
"The building is located at the city center.","The building is located in the city center."
"The bird was sitting on the tree.","The bird was sitting in the tree."
"The party will start in 8 PM.","The party will start at 8 PM."
"She was sitting on the chair.","She was sitting in the chair."
"The meeting is scheduled on 10 AM.","The meeting is scheduled at 10 AM."
"He was leaning on the wall.","He was leaning against the wall."
"They were talking about their plans.","They were talking of their plans."
"The plane was flying above the clouds.","The plane was flying over the clouds."
"The car is parked in front of the house.","The car is parked in front the house."
"He is waiting for her on the restaurant.","He is waiting for her at the restaurant."
"I be going to the store to buy groceries.","I am going to the store to buy groceries."
"He no likes pineapple on his pizza.","He doesn't like pineapple on his pizza."
"She very tired after the long day at work.","She is very tired after the long day at work."
"The dog chased it's tail for hours.","The dog chased its tail for hours."
"He play guitar at the concert last night.","He played guitar at the concert last night."
"John and I dog went for a walk.","John's and my dog went for a walk."
"The cake needs to bake in oven for 30 minutes.","The cake needs to bake in the oven for 30 minutes."
"She sung a beautiful song at the talent show.","She sang a beautiful song at the talent show."
"He won't able came to the party tonight.","He won't be able to come to the party tonight."
"The car needs repaired before we can drive it.","The car needs to be repaired before we can drive it."
"She running in the park every morning.","She runs in the park every morning."
"The childrens had a lot of fun at the playground.","The children had a lot of fun at the playground."
"The book layed on the table for weeks.","The book lay on the table for weeks."
"I needs help with this heavy box.","I need help with this heavy box."
"I wants to learn how to cook a new recipe.","I want to learn how to cook a new recipe."
"We was playing soccer when it started to rain.","We were playing soccer when it started to rain."
"The laptops on the desk are belong to him.","The laptops on the desk belong to him."
"She going to the beach for vacation tomorrow.","She is going to the beach for vacation tomorrow."
"He don't know how to fix the broken faucet.","He doesn't know how to fix the broken faucet."
"The cat tried climbs the tree but couldn't.","The cat tried to climb the tree but couldn't."
"They enjoys reading mystery novels.","They enjoy reading mystery novels."
"She could ran faster if she trained more.","She could run faster if she trained more."
"The cookies needs to cool before we can eat them.","The cookies need to cool before we can eat them."
"She have a lot of work to do this weekend.","She has a lot of work to do this weekend."
"We played soccer and basketball at the park yesterday.","We played soccer and basketball at the park yesterday."
"I'm going to the store for buying some groceries.","I'm going to the store to buy some groceries."
"The teacher said be quiet and open your books.","The teacher said to be quiet and open your books."
"The phone battery drained quick and died.","The phone battery drained quickly and died."
"The doctor said my blood pressure are high.","The doctor said my blood pressure is high."
"She always forgets taking her medication.","She always forgets to take her medication."
"He was walk in the park when he found a wallet.","He was walking in the park when he found a wallet."
"I been waiting for the bus for over an hour.","I have been waiting for the bus for over an hour."
"The cat chased the mouse but it couldn't catched it.","The cat chased the mouse but couldn't catch it."
"She needs to learn how cook before she moves out.","She needs to learn how to cook before she moves out."
"I can't believe she ate the whole cake herself!","I can't believe she ate the whole cake by herself!"
"The store sells a variety of clothes and shoes.","The store sells a variety of clothing and shoes."
"She has an appointment at the dentist on next week.","She has an appointment at the dentist next week."
"They went to beach and had a great time together.","They went to the beach and had a great time together."
"Our neighbors dog barks loudly every night.","Our neighbor's dog barks loudly every night."
"He wants to travelling to Europe next summer.","He wants to travel to Europe next summer."
"The recipe calls for two cups of sugar and a eggs.","The recipe calls for two cups of sugar and an egg."
"We must to finish the project before the deadline.","We must finish the project before the deadline."
"The concert will be held at the park on Saturday.","The concert will be held at the park this Saturday."
"The children plays outside after school each day.","The children play outside after school each day."
"She putted the flowers in a vase on the table.","She put the flowers in a vase on the table."
"The dog sleeps on the floor by its owner bed.","The dog sleeps on the floor by its owner's bed."
"The chef cooked a delicious meal for the guests.","The chef cooked a delicious meal for the guests."
"The painting was hang on the wall above the fireplace.","The painting was hung on the wall above the fireplace."
"The teacher gave the students they homework.","The teacher gave the students their homework."
"The table needs to be setted before dinner.","The table needs to be set before dinner."
"She has a few books that she wants to reading.","She has a few books that she wants to read."
"They goes to the same school as their cousins.","They go to the same school as their cousins."
"He works as a doctor and helps many peoples.","He works as a doctor and helps many people."
"She has a beautiful singing voice and sings often.","She has a beautiful singing voice and sings often."
"The boy throwed the ball to his friend in the park.","The boy threw the ball to his friend in the park."
"The childrens played hide and seek in the backyard.","The children played hide and seek in the backyard."
"She asked her friend if they wants to go shopping.","She asked her friend if they want to go shopping."
"The cake needs to be frosted after it cools down.","The cake needs to be frosted after it cools down."
"The store closes at 9:00pm and opens at 8:00am.","The store closes at 9:00 pm and opens at 8:00 am."
"We were surprised when she showed up at the party.","We were surprised when she showed up at the party."
"The baby was crying because it was hungry and tired.","The baby was crying because it was hungry and tired."
"The birds sings loudly in the trees every morning.","The birds sing loudly in the trees every morning."
"The sun sets in the west and rises in the east.","The sun sets in the west and rises in the east."
"She can plays the piano and the guitar very well.","She can play the piano and the guitar very well."
"The books on the shelf are belongs to the library.","The books on the shelf belong to the library."
"The dog chased the squirrels in the park yesterday.","The dog chased the squirrels in the park yesterday."
"The flowers in the garden are blooming beautifully.","The flowers in the garden are blooming beautifully."
"They visited their grandparents on the weekend.","They visited their grandparents on the weekend."
"She goes to the gym every day to exercising.","She goes to the gym every day to exercise."
"He was late to work because he missed his bus.","He was late to work because he missed his bus."
"The ice cream truck comes to our neighborhood often.","The ice cream truck comes to our neighborhood often."
"The computer is very slow and needs to be fixed.","The computer is very slow and needs to be fixed."
"The teacher asked the students to quiet down.","The teacher asked the students to quiet down."
"The cake needs more icing; it's not enough.","The cake needs more icing; there isn't enough."
"She has a lot of homeworks to do this weekend.","She has a lot of homework to do this weekend."
"He doesn't like to eat fish because of the taste.","He doesn't like to eat fish because of the taste."
"The weather is very hot today; I need a cold drink.","The weather is very hot today; I need a cold drink."
"The car is parked in the driveway behind the house.","The car is parked in the driveway behind the house."
"He was reading a book when the phone rang.","He was reading a book when the phone rang."
"The children needs to be picked up from school.","The children need to be picked up from school."
"She wants to learn how to play the violin this year.","She wants to learn how to play the violin this year."
"The dog is very friendly and loves to play fetch.","The dog is very friendly and loves to play fetch."
"The store is closed today because of the holiday.","The store is closed today because of the holiday."
